State,County,Total,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CERVICAL_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DEPRESSION_CrudePrev,DIABETES_CrudePrev,GHLTH_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,HEARING_CrudePrev,VISION_CrudePrev,COGNITION_CrudePrev,MOBILITY_CrudePrev,SELFCARE_CrudePrev,INDEPLIVE_CrudePrev,DISABILITY_CrudePrev
SC,York County,110463,15.153024089514137,24.377328155128865,18.504165195585852,32.44623448575541,75.1909019309633,6.732051456143686,9.568985090030147,79.89230058933762,5.543012592451771,71.28220580646914,84.73094882449328,65.72548183554674,7.1118356372722085,46.45327756805447,40.543861745561856,16.50151815540045,58.24203398423001,23.62351103989571,9.940311235436301,16.152423888541865,37.83645202465984,2.798780587164933,23.07308057901741,72.45397916044287,16.220118953857853,35.01924535817423,11.37547866706499,32.7710473190118,2.8398432054171985,12.52945511166635,6.565547739967228,4.2880711188361715,12.948462381068774,12.753792672659623,3.4580945656011517,7.280403392991318,28.52345581778514
SD,Aurora County,10301,16.579545675177165,28.617192505581983,16.907300262110475,36.380574701485294,78.38395301427046,7.6506164450053395,9.943830696048929,78.63939423356956,7.189923308416658,73.335384914086,84.42612367731289,66.15357732259004,8.994660712552179,45.48032229880594,38.90397048830211,18.167304145228616,54.28597223570527,24.66687700223279,12.018736045044172,19.752490049509756,39.75083001650325,3.4345694592757985,26.94374332589069,72.58651587224541,17.29969905834385,37.14929618483642,13.44352975439278,35.03940394136492,3.683438501116396,16.560304824774292,8.354839335986798,5.585399475779051,14.689622366760508,16.612668672944373,4.536530433938453,9.094146199398116,34.37028443840404
SD,Beadle County,21078,17.292437612676725,28.44771799981023,16.77512097922004,37.146437043362745,77.86409526520542,7.663744188253155,9.903074295473953,77.74702059018882,7.249354777493121,72.96299459151722,84.05493405446437,65.96823702438562,9.023469968687731,43.57567606034728,37.356917164816394,17.87062339880444,53.823768858525476,24.09040231521017,12.30690293196698,19.784694942594175,39.791555176012906,3.4305436948477084,26.823294430211597,71.99332004934054,17.116045165575482,37.12350792295284,13.299221937565234,34.19716766296613,3.636455071638675,16.13503178669703,8.331995445488186,5.7122687161969825,14.784917923901698,16.178494164531738,4.5233561058923994,9.084742385425562,33.68654995730145
SD,Bennett County,6642,31.765853658536585,23.89873532068654,16.27664859981933,38.26928635953026,77.12082204155375,5.794715447154472,10.727822944896115,77.513233965673,6.820054200542005,71.56219512195122,80.86386630532971,64.52258355916892,8.600496838301716,31.922267389340558,31.829539295392955,20.259485094850948,43.19340560072267,21.223667570009034,15.525564588979224,26.82831978319783,36.91558265582656,3.826151761517615,34.351174345076785,76.40420054200543,18.444083107497743,41.68676603432701,14.68342366757001,36.28622402890696,4.248464317976513,23.593360433604335,7.164950316169828,9.281255645889791,18.383739837398373,18.572357723577237,6.595302619692863,11.48757904245709,36.39932249322493
SD,Bon Homme County,5654,15.999964626812876,30.78215422709586,16.28447117085249,39.39621506897772,79.7253272019809,8.474690484612664,9.963371064732932,78.12920056597099,8.060328970640256,73.06952599929254,84.93891050583657,66.24257163070392,9.9952423063318,40.90468694729395,35.818553236646615,18.84541917226742,53.68784931022286,24.517562787407144,12.946727980191016,20.2042447824549,41.71572338167669,3.684029006013442,27.063211885390874,71.65159179342058,16.96029359745313,36.820817120622564,14.001750972762645,33.42753802617616,3.9662186062964273,16.37117085249381,9.155076052352317,5.731782808631058,14.684984082065792,17.45967456667846,4.772656526353024,9.297400070746374,34.52760877255041
SD,Brookings County,53420,14.632457880943468,24.05636278547361,18.536323474354173,32.10897978285286,74.50296518157992,6.575033695245226,9.535913515537253,80.48607076001498,5.3481860726319725,71.9772388618495,85.40011606140023,67.04938786971171,6.680606514414077,NA,42.73034256832647,14.900591538749532,60.02811681018344,23.75483526769,9.922238861849495,15.71341070760015,36.78857543991015,2.7749868962935227,22.231254211905654,74.28198240359416,15.98691126918757,34.26891800823662,10.945514788468738,32.894039685511046,2.761793335829277,11.574906402096593,6.363026956196181,4.4426207412953955,12.452669412205166,12.498523025084237,3.5224241856982403,7.299906402096593,27.57281729689255
SD,Brown County,53582,22.35638460677093,27.486790340039565,15.312899854428725,38.04289686835131,78.40710686424546,7.170674853495577,10.42000111977903,76.33662797208017,7.390957784330559,74.21852487775746,82.56529991415029,65.74309469597999,8.860611772610204,41.88209846590273,35.97413497069912,18.038363629577095,49.55838154604159,23.261121272068976,14.278041133216378,23.52728341607256,38.691418760031354,3.8125209958568176,30.983634429472584,74.50865029300884,18.100223955806054,39.32193647120302,14.234513456011346,36.53541114553395,4.134199917882872,19.27192900600948,8.25563435482065,7.864691500877161,16.7026930685678,18.682318689112016,5.867660781605763,11.010587510731217,37.48581426598485
SD,Brule County,7512,14.754898828541,26.80692225772098,17.888298722044727,34.37711661341853,77.02850106496273,7.116799787007455,9.718903088391906,79.70287539936102,6.309411608093716,72.5226038338658,85.041892971246,67.32739616613418,7.901517571884985,46.41397763578274,41.42482694355697,16.962619808306712,57.523455804046854,24.32712992545261,10.95211661341853,17.41862353567625,38.614124068157615,3.023801916932907,24.325106496272632,73.74456869009585,16.68771299254526,36.586301916932904,12.235316826411076,34.56918264110756,3.194901490947817,13.725998402555911,7.3094116080937175,4.743210862619808,13.399414270500532,14.284318423855163,3.8637113951011717,7.851610756123536,30.676930244941428
SD,Buffalo County,18096,23.130072944297083,26.50195623342175,17.050978116710876,36.57493921308577,76.72701702033599,6.96100243147657,10.038997568523431,77.33899756852342,6.994987842617152,71.37603890362512,81.72701702033599,64.43704133510168,8.567970822281167,41.26907051282051,33.488019451812555,18.2039124668435,49.76907051282051,23.050978116710876,12.572982979664015,21.48997568523431,37.97298297966402,3.4389975685234306,28.955990274093722,71.73899756852343,17.572982979664015,37.93398541114058,13.389975685234306,34.767970822281164,3.677995137046861,17.779951370468613,8.055990274093723,6.53899756852343,16.033985411140584,16.48997568523431,4.894987842617153,9.794987842617152,34.97298297966402
SD,Butte County,178887,17.226189158519063,17.797048416039175,19.027230039074944,29.03920407855238,72.23891451027744,5.184925120327358,9.355069401353926,81.65717855405926,4.0592871477524914,70.66137729404596,84.53718828087004,65.61322622661233,4.867244685192328,42.772341198633775,40.874090906549945,13.515622152532043,58.709166680641964,19.90748461319157,9.351986449546361,15.08385517114156,32.72118040997948,2.4542308831832385,22.138527673894693,76.88507549458596,15.39536299451609,33.783590199399626,9.45400280624081,32.520940034770554,2.401487531234802,10.73461962020717,4.81333076187761,4.625894000122983,12.28468809919111,10.169659617523912,3.309917992922907,6.6744509103512275,23.583630448271816
