Benin,Sub-Saharan Africa,SL.UEM.TOTL.ZS,0.889,0.747,0.79,0.69,0.86,0.765,0.864,1.04,0.902,0.894,0.949
Bermuda,North America,SP.POP.TOTL,62834,62386,62555,62142,62711,61867,61550,63725,63010,63300,63565
Bermuda,North America,NY.GDP.PCAP.CD,97781.4559,67106.80281,71692.1589,63358.56587,77628.10352,59490.2452,56542.95695,104111.8242,107395.6515,110268.5624,104711.7124
Bermuda,North America,SL.TLF.TOTL.IN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bermuda,North America,SL.UEM.TOTL.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhutan,South Asia,SP.POP.TOTL,670799,637663,650544,624409,661865,610794,596863,701632,678641,686351,693988
Bhutan,South Asia,NY.GDP.PCAP.CD,1405.607162,1022.382403,1130.359346,895.7994899,1299.949386,812.2382108,771.9249114,2435.579807,1850.415704,1919.597749,1918.395992
Bhutan,South Asia,SL.TLF.TOTL.IN,315199,285485,296426,275096,306675,265213,255846,337478,322998,330722,338169
Bhutan,South Asia,SL.UEM.TOTL.ZS,3.13,1.8,2.49,1.853,3.1,1.9,1.66,3.32,3.7,3.842,3.96
Bolivia,Latin America & Caribbean,SP.POP.TOTL,9521689,9050700,9204287,8900355,9360754,8752736,8606326,10182345,9685960,9850858,10016275
Bolivia,Latin America & Caribbean,NY.GDP.PCAP.CD,1202.711504,893.0137602,953.1918932,888.221329,1020.123262,930.1682272,975.7770604,1929.783731,1354.549059,1692.672485,1731.181721
Bolivia,Latin America & Caribbean,SL.TLF.TOTL.IN,4215393,3965089,4045470,3888572,4128982,3814211,3741182,4567789,4303228,4391153,4479358
Bolivia,Latin America & Caribbean,SL.UEM.TOTL.ZS,2.577,2.664,2.622,2.613,2.603,2.636,2.447,2.608,2.616,2.603,2.973
Bosnia and Herzegovina,Europe & Central Asia,SP.POP.TOTL,4063272,4178523,4140987,4188002,4096493,4179438,4159771,3811472,4013424,3947544,3879794
Bosnia and Herzegovina,Europe & Central Asia,NY.GDP.PCAP.CD,3166.128653,2033.947009,2452.686168,1606.546722,2739.610769,1387.893651,1338.480596,4506.478285,3931.489487,4841.693119,4539.918638
Bosnia and Herzegovina,Europe & Central Asia,SL.TLF.TOTL.IN,1750056,1775586,1767966,1767704,1755779,1748958,1723408,1651355,1735948,1712952,1681868
Bosnia and Herzegovina,Europe & Central Asia,SL.UEM.TOTL.ZS,31.11,28.447,29.276,27.312,30.227,26.289,25.187,27.312,28.984,23.405,24.068
Botswana,Sub-Saharan Africa,SP.POP.TOTL,1874516,1775736,1807146,1744763,1839877,1712254,1677382,2033111,1911201,1949970,1990673
Botswana,Sub-Saharan Africa,NY.GDP.PCAP.CD,5291.583791,4230.123269,4956.692877,3117.250872,5391.070766,3206.071237,3450.811806,6215.732161,5529.125746,5503.073953,5082.933883
Botswana,Sub-Saharan Africa,SL.TLF.TOTL.IN,728696,667858,688033,647894,708319,627315,605662,802345,758634,789289,820523
Botswana,Sub-Saharan Africa,SL.UEM.TOTL.ZS,17.782,23.8,21.758,21.268,19.847,18.54,15.88,17.86,16.998,16.328,16.169
Brazil,Latin America & Caribbean,SP.POP.TOTL,186653106,180622688,182675143,178503484,184688101,176301203,174018282,193701929,188552320,190367302,192079951
